x,y
10759,1311
15577,1816
39790,4181
16204,1883
10858,1319
13399,1589
25804,2841
5314,704
38236,4035
352304,30156
18085,2072
85037,8281
925,157
15742,1836
315267,27215
33352,3572
49558,5092
17260,1986
107059,10202
34573,3692
37570,3978
30133,3259
2839,412
15940,1858
321273,27708
16468,1908
8911,1108
110062,10458
23473,2612
1849,283
48670,5005
168120,15347
13630,1611
123075,11569
41899,4380
5710,751
228180,20271
340292,29206
371323,31620
17557,2018
97049,9341
390342,33092
15148,1769
13300,1579
41566,4346
17425,2004
391343,33176
13465,1596
463,90
17458,2007
20365,2301
25915,2850
24472,2715
29578,3210
324276,27941
20476,2310
74026,7303
2179,327
16732,1934
49891,5123
11254,1360
5248,697
49336,5069
47782,4925
69021,6857
6172,803
2509,368
1519,240
60012,6057
328280,28270
46561,4811
333285,28661
3961,548
6568,848
200152,17995
2377,352
83035,8109
13729,1625
302254,26178
26248,2883
17359,1996
17524,2016
18943,2154
133085,12420
40012,4204
12112,1450
8218,1029
1024,172
24361,2704
259211,22777
10429,1276
159111,14605
5578,736
124076,11654
6205,807
68020,6774
17788,2040
2740,399
34129,3647
253205,22292
240192,21239
13498,1599
18514,2119
5116,684
189141,17091
35128,3745
27136,2975
5050,675
38347,4048
18217,2087
351303,30078
14719,1722
17623,2026
430,82
4786,642
19867,2248
10957,1331
1321,216
19669,2226
385337,32710
7954,1005
10660,1300
135087,12584
42565,4450
26914,2952
203155,18234
103055,9857
10891,1325
43786,4560
316268,27296
375327,31936
345297,29600
39124,4119
5809,762
18316,2100
34018,3638
297249,25789
3070,439
331,67
250202,22061
12244,1463
23695,2637
9637,1190
39013,4107
16171,1879
106058,10110
125077,11739
14455,1695
18778,2142
18844,2147
16435,1905
9472,1173
20254,2289
7459,945
12904,1535
36460,3864
496,94
5182,690
2047,309
11188,1355
272224,23821
202154,18161
3400,478
73025,7221
8152,1023
252204,22219
14587,1708
1915,293
17854,2047
153105,14118
7426,941
19636,2225
2146,324
190142,17178
127079,11906
1,0
30355,3281
38569,4064
55007,5591
145097,13431
25471,2810
307259,26592
5677,747
21697,2434
2938,423
19306,2188
15214,1775
3202,452
4720,635
2872,416
34240,3657
5512,728
261213,22928
17095,1970
344296,29529
4324,590
34462,3680
46117,4771
29911,3238
29245,3179
30799,3319
111063,10541
16963,1956
9307,1151
311263,26896
4522,614
16369,1899
12805,1526
21808,2446
45673,4733
122074,11485
192144,17339
13564,1604
37015,3925
12508,1493
14026,1654
109061,10369
65017,6495
21142,2375
3037,435
30244,3270
282234,24621
3136,445
10462,1280
16633,1924
7657,971
5776,757
37903,4008
18283,2094
249201,21979
341293,29288
217169,19376
7756,983
38125,4025
45562,4723
199151,17916
399351,33806
183135,16592
19471,2209
210162,18822
366318,31249
113065,10710
14818,1735
300252,26017
36349,3857
331283,28507
25693,2830
338290,29061
160112,14695
17953,2057
11452,1381
346298,29678
17986,2062
25138,2774
2344,347
5413,714
12046,1443
7492,949
15247,1779
16798,1939
5479,724
173125,15762
5149,686
39568,4162
49780,5110
143095,13269
13993,1650
28246,3077
46339,4792
10396,1273
358310,30627
185137,16758
66018,6591
268220,23504
7162,916
136088,12672
5545,732
14917,1746
19141,2172
38902,4097
1090,181
15412,1800
35572,3787
11848,1421
23806,2647
30910,3332
19801,2241
33574,3593
11122,1348
12343,1474
32686,3505
32020,3434
29356,3189
17689,2032
31465,3385
3730,520
22474,2513
16897,1948
318270,27461
15478,1808
3367,474
6469,839
121073,11398
306258,26509
33685,3608
1222,199
8053,1012
361313,30845
7393,939
171123,15595
227179,20194
233185,20687
3532,493
45118,4681
384336,32633
8086,1015
30022,3247
218170,19458
29134,3166
165117,15103
13861,1637
18976,2157
178130,16170
4885,653
129081,12082
31132,3352
33463,3582
18712,2135
2014,305
5611,738
388340,32935
14554,1705
40789,4270
169121,15422
10066,1234
18184,2083
41677,4360
116068,10968
44119,4592
7624,968
7129,914
35683,3795
9571,1183
91043,8805
32353,3470
120072,11307
22030,2467
18118,2074
16501,1912
246198,21727
9967,1228
28468,3097
3433,481
10693,1304
1948,295
14092,1662
35794,3801
47671,4914
48448,4982
47449,4892
27358,2991
1354,217
7327,933
26026,2863
28801,3136
1783,276
134086,12503
18349,2102
43564,4537
39457,4153
6733,868
298,62
14191,1669
16237,1887
7855,992
2212,329
8449,1057
126078,11828
364316,31086
16534,1914
32242,3458
206158,18477
45340,4704
362314,30930
258210,22692
8383,1049
104056,9939
13696,1619
209161,18728
47227,4870
389341,33011
3796,527
6238,811
46783,4834
43120,4505
39235,4132
157109,14444
43675,4551
28357,3087
37792,3997
40234,4225
7261,928
34795,3715
350302,29997
207159,18559
3565,499
138090,12848
34906,3725
1189,195
16600,1919
266218,23330
31576,3398
19504,2213
63015,6320
20809,2344
16336,1894
3268,461
211163,18904
5215,693
16270,1890
11947,1432
14158,1666
4291,589
6139,800
7888,997
9868,1217
279231,24378
248200,21895
6535,844
10198,1252
154106,14199
295247,25634
11353,1372
6964,894
238190,21074
44896,4665
12574,1501
70022,6939
42121,4403
24583,2725
8548,1066
93045,8985
9901,1221
52004,5319
257209,22611
3598,503
9208,1141
15445,1804
67019,6676
8515,1061
958,162
12079,1446
19537,2215
285237,24862
7591,965
43453,4530
1387,221
336288,28898
7558,958
6898,886
38014,4018
31798,3418
1981,299
226178,20117
367319,31332
62014,6234
7360,937
31354,3379
18382,2106
18448,2113
148100,13681
44008,4579
128080,11991
16072,1870
332284,28589
35239,3754
13762,1628
11914,1427
287239,25012
6502,842
8977,1116
12607,1505
20920,2352
9703,1197
11617,1397
77029,7571
353305,30235
3631,508
4159,573
7195,919
41455,4336
6865,883
10990,1334
19273,2186
12739,1520
11518,1388
12409,1481
8878,1106
7690,975
23029,2570
11485,1384
9043,1124
26359,2896
11749,1409
22807,2548
360312,30782
19900,2250
56008,5684
11584,1393
9175,1137
33019,3539
2278,338
2608,378
15115,1765
101053,9677
31687,3408
5083,679
16864,1944
13168,1566
47338,4880
15049,1757
16138,1877
859,149
6271,816
6799,875
48892,5029
330282,28428
23362,2604
26581,2916
11056,1338
7525,953
8482,1059
387339,32865
18646,2130
219171,19543
12871,1532
16930,1952
364,72
1255,204
21475,2407
14521,1700
8284,1038
2707,394
24028,2672
208160,18649
8581,1069
14422,1690
326278,28112
11716,1405
44674,4643
49447,5080
1585,250
383335,32549
16006,1863
14290,1676
156108,14365
8812,1097
59011,5965
319271,27545
28690,3125
323275,27868
4423,602
381333,32396
38791,4088
9406,1163
7987,1006
10627,1296
3928,544
12376,1476
6832,879
13102,1558
44563,4633
137089,12765
247199,21808
368320,31408
14059,1658
24916,2752
199,46
15709,1831
15379,1797
46894,4845
8119,1021
49225,5061
19207,2177
2905,420
694,125
19438,2203
205157,18396
13927,1646
11287,1365
220172,19630
166118,15181
271223,23744
46228,4781
18877,2149
14653,1716
36127,3836
12838,1530
5017,672
43342,4522
262214,23005
6073,792
214166,19144
4588,620
17326,1991
36793,3903
48337,4973
47560,4902
379331,32243
2080,312
6007,784
40456,4240
33130,3551
327279,28184
3235,457
42676,4459
372324,31694
6370,830
146098,13518
38458,4056
9340,1155
41011,4292
76028,7486
41233,4318
38680,4075
67,19
14323,1680
193145,17426
27247,2982
397,78
33241,3561
5446,720
9109,1130
12475,1488
19702,2230
235187,20849
15676,1829
254206,22377
186138,16849
43231,4513
5281,701
10792,1314
16765,1938
24694,2734
18811,2146
232,50
26137,2872
245197,21648
89041,8624
2806,409
45784,4743
237189,20999
382334,32469
10924,1327
15181,1772
11551,1392
11221,1357
8416,1051
144096,13349
18151,2081
71023,7035
30577,3301
9274,1147
1123,188
241193,21317
17161,1976
8185,1027
117069,11051
10132,1242
3664,511
81033,7931
308260,26662
147099,13599
25027,2763
